unix_time,unique,page_views,subscriptions
1579305600,0,0,0
1579219200,14119,85923,200
1579132800,13961,86144,164
1579046400,16502,102742,212
1578960000,23821,138794,191
1578873600,18226,124929,216
1578787200,13739,93051,181
1578700800,14268,92353,164
1578614400,19682,125000,216
1578528000,26595,152890,260
1578441600,19846,124813,210
1578355200,16300,108801,182
1578268800,14131,94611,158
1578182400,12522,81328,173
1578096000,13122,80450,185
1578009600,15062,99305,238
1577923200,15054,97741,209
1577836800,11946,72969,144
1577750400,14392,85418,138
1577664000,13962,84187,162
1577577600,11009,65760,150
1577491200,11508,67917,215
1577404800,12529,74955,158
1577318400,11868,74064,159
1577232000,10272,65920,125
1577145600,12673,77855,175
1577059200,12688,79383,125
1576972800,10596,63918,132
1576886400,10600,74935,122
1576800000,12164,84213,125
1576713600,12485,83700,132
1576627200,13584,93431,138
1576540800,14892,102262,206
1576454400,13457,96332,132
1576368000,11517,77261,201
1576281600,12929,84553,148
1576195200,21085,156253,224
1576108800,13710,99610,133
1576022400,13560,96352,203
1575936000,15195,100798,228
1575849600,13537,95876,160
1575763200,11231,77346,147
1575676800,11694,81888,125
1575590400,14581,112307,149
1575504000,15122,101703,172
1575417600,15853,97455,193
1575331200,14822,98122,199
1575244800,13800,91520,222
1575158400,11816,70951,250
1575072000,10558,66899,108
1574985600,10556,64453,130
1574899200,10104,60314,119
1574812800,13100,86241,170
1574726400,16138,104539,181
1574640000,13330,92377,218
1574553600,11565,74520,174
1574467200,13059,80043,162
