unix,uniques,pageviews
1577836800,162353,1767949
1575158400,216626,2716245
1572566400,231467,2993138
1569888000,226136,2797918
1567296000,226201,2623355
1564617600,240521,2671548
1561939200,264842,3037746
1559347200,220405,2056693
1556668800,216362,2038197
1554076800,227016,2049465
1551398400,246112,2480245
1548979200,225674,2342420
