unix,uniques,pageviews
1579381200,0,0
1579377600,0,0
1579374000,0,0
1579370400,0,0
1579366800,539,1782
1579363200,904,3776
1579359600,806,3206
1579356000,685,3012
1579352400,484,1947
1579348800,331,1230
1579345200,178,744
1579341600,186,667
1579338000,178,685
1579334400,273,1092
1579330800,407,1539
1579327200,496,2022
1579323600,676,2642
1579320000,751,2989
1579316400,840,3117
1579312800,833,3496
1579309200,872,3551
1579305600,980,3913
1579302000,1001,4312
1579298400,1108,4345
1579294800,1211,5194
1579291200,1195,5441
1579287600,1314,5513
1579284000,1264,5439
1579280400,1316,5386
1579276800,1210,5023
1579273200,1150,4686
1579269600,921,3839
1579266000,684,2911
1579262400,449,1799
1579258800,293,973
1579255200,214,747
1579251600,209,916
1579248000,292,1035
1579244400,447,1566
1579240800,609,2313
1579237200,807,2882
1579233600,1022,3989
1579230000,1126,4337
1579226400,1193,4674
1579222800,1114,4197
1579219200,1137,4406
1579215600,1124,4315
1579212000,1096,4319
1579208400,1284,4778
1579204800,1269,5091
1579201200,1304,5376
1579197600,1224,5134
1579194000,1225,5098
1579190400,1202,5521
1579186800,1115,4964
1579183200,903,3933
1579179600,653,2488
1579176000,451,1708
1579172400,268,993
1579168800,207,792
1579165200,191,719
1579161600,270,1117
1579158000,441,1638
1579154400,674,2720
1579150800,832,3519
1579147200,1036,4246
1579143600,1155,4187
1579140000,1232,4529
1579136400,1187,4361
1579132800,1170,4598
1579129200,1186,4446
1579125600,1300,5063
1579122000,1522,5921
1579118400,1491,5638
1579114800,1496,6061
1579111200,1494,6121
1579107600,1530,6618
1579104000,1392,5948
1579100400,1197,4849
1579096800,1039,4408
1579093200,767,3189
1579089600,563,2121
1579086000,353,1418
1579082400,261,1168
1579078800,229,929
1579075200,344,1260
1579071600,531,1976
1579068000,781,3225
1579064400,1009,4313
1579060800,1317,5591
1579057200,1507,5996
1579053600,1453,5648
1579050000,1421,5399
1579046400,1409,5436
1579042800,1526,5879
1579039200,1556,6437
1579035600,1672,6569
